QKEY,INTERVIEW_START_W132,INTERVIEW_END_W132,DEVICE_TYPE_W132,LANG_W132,FORM_W132,XDENOM_W132,IMPWOMPRES_W132,LIKELYWOMPRES_W132,ALTID_a_W132,ALTID_b_W132,ALTID_c_W132,ALTID_d_W132,ALTID_e_W132,NONRELIGIOUS_W132,SPIRIMP_W132,SPIRESSENT1_a_W132,SPIRESSENT1_b_W132,SPIRESSENT1_c_W132,SPIRESSENT1_d_W132,SPIRESSENT1_e_W132,SPIRESSENT1_f_W132,SPIRESSENT1_g_W132,SPIRESSENT1_h_W132,SPIRESSENT1_i_W132,SPIRESSENT1_j_W132,SPIRACT1_a_W132,SPIRACT1_b_W132,SPIRACT1_c_W132,SPIRACT1_d_W132,SPIRACT1_e_W132,SPIRACT2_a_W132,SPIRACT2_b_W132,SPIRACT2_c_W132,SPIRACT2_d_W132,SPIRACT2_e_W132,RTWRNG_a_W132,RTWRNG_b_W132,RTWRNG_c_W132,RTWRNG_d_W132,RTWRNG_e_W132,RTWRNG_f_W132,RTWRNG_g_W132,GOD_W132,GODBIBLE_W132,HGHPWR_W132,MISSINGGOD_W132,SPIREXIST_W132,SPIRTYPE_W132,SPIRENC_W132,BEYONDEXP_W132,SOUL_W132,BELIEVE_a_W132,BELIEVE_b_W132,DTHLKE_a_W132,DTHLKE_b_W132,DTHLKE_c_W132,DTHLKE_d_W132,DTHLKE_e_W132,DTHLKE_f_W132,SPIRSPEAK_W132,SPIREXP_a_W132,SPIREXP_b_W132,SPIREXP_c_W132,SPIREXP_d_W132,SPIRENERGY_a_W132,SPIRENERGY_b_W132,SPIRENERGY_c_W132,SPIRENERGY_d_W132,SPIRTHINGS_a_W132,SPIRTHINGS_b_W132,SPIRTHINGS_c_W132,SPIRTHINGS_d_W132,SPIRTHINGS_e_W132,SPIRCOM1_a_W132,SPIRCOM1_b_W132,SPIRCOM1_c_W132,SPIRCOM2a_W132,SPIRCOM2b_W132,SPIRCOM2c_W132,SECMEMB_W132,SECBEL1_W132,SECBEL2_W132,SPIRWORLD_W132,RELIMPACT_W132,SCIMPACT_W132,CHRELIG_W132,LIFEDIR_W132,LIFESPIR_W132,RELEFFECT_a_W132,RELEFFECT_b_W132,RELEFFECT_c_W132,RELEFFECT_d_W132,WHYNONE_MOD_a_W132,WHYNONE_MOD_b_W132,WHYNONE_MOD_c_W132,WHYNONE_MOD_d_W132,WHYNONE_MOD_e_W132,WHYNONE_MOD_f_W132,AI_HEARD_W132,CNCEXC_W132,AIHLPHRT_a_W132,AIHLPHRT_b_W132,AIHLPHRT_c_W132,AIHLPHRT_d_W132,AIHLPHRT_e_W132,AIHLPHRT_f_W132,AIHLPHRT_g_W132,AIHLPHRT_h_W132,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W132
103379,2023-08-03T16:23:41Z,2023-08-03T16:57:17Z,1,1,1,2,5,4,1,2,2,1,2,2,1,2,1,1,1,3,1,1,1,1,2,3,1,3,3,7,4,1,6,2,NA,1,1,2,1,2,3,3,1,1,NA,NA,1,1,1,1,1,1,1,3,3,3,4,4,1,2,3,3,3,3,2,2,2,1,2,2,2,2,2,1,1,2,2,2,NA,2,2,1,2,2,1,1,3,3,1,4,4,3,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,NA,NA,NA,NA,1,3,5,2,4,1,2,3,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,1,9,2,5,2,3,1.2419232031070135
103519,2023-08-01T20:41:55Z,2023-08-01T21:04:13Z,2,1,1,1,4,2,2,2,1,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,3,7,NA,1,2,2,NA,5,1,2,2,1,2,1,1,2,NA,NA,1,3,2,2,1,2,2,2,5,2,5,5,5,2,3,3,5,4,1,2,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,1,2,2,3,2,2,2,2,2,2,2,1,4,3,1,4,2,5,1,2,3,1,1,1,NA,NA,NA,NA,1,2,3,2,4,1,1,6,2,NA,1,1,1,1,1,1,10,NA,3,6,3,2,2,3,1,9,3,1,1,3,0.13051792760471098
103538,2023-08-02T19:39:51Z,2023-08-02T20:08:34Z,1,1,1,2,6,3,99,99,99,1,99,2,2,2,3,1,3,2,2,1,1,1,1,7,1,2,2,7,NA,5,2,2,NA,4,2,2,2,2,2,2,1,2,NA,NA,1,1,1,1,1,1,1,5,5,2,5,5,5,2,1,1,4,4,1,2,1,1,2,2,2,1,1,2,2,2,NA,NA,NA,2,2,2,2,1,2,2,2,1,2,3,3,2,NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,NA,NA,NA,NA,1,4,8,3,4,1,1,5,2,NA,1,1,1,1,1,1,2,2,2,5,3,2,2,3,1,9,3,2,2,3,0.302379389245481
103611,2023-08-02T21:49:56Z,2023-08-02T22:04:11Z,2,1,1,2,2,3,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,5,5,4,6,7,2,1,1,NA,NA,2,2,2,2,1,1,1,1,1,NA,NA,1,4,2,2,1,1,1,5,2,5,5,5,5,1,4,1,4,1,2,2,1,1,2,2,2,2,1,1,2,2,2,NA,NA,2,2,2,2,3,1,2,3,1,1,3,2,4,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,NA,NA,NA,NA,1,1,2,1,4,2,1,6,2,NA,1,1,1,1,1,6,2,2,2,2,3,2,2,3,1,1,3,2,1,2,0.1900180623519794
103677,2023-08-03T14:02:50Z,2023-08-03T14:18:48Z,2,1,1,2,5,2,2,2,1,1,2,1,2,2,3,3,2,1,2,2,1,3,2,2,4,2,5,7,2,5,2,2,NA,3,1,1,1,3,1,1,1,2,NA,NA,1,4,2,1,1,2,2,3,3,3,4,4,3,1,3,1,4,1,1,2,1,2,2,2,2,2,1,1,2,2,4,NA,NA,2,2,2,2,2,2,2,2,3,2,4,1,3,3,5,3,5,5,5,1,2,1,1,1,1,NA,NA,NA,NA,1,1,2,2,3,1,2,3,2,NA,1,1,1,1,1,1,2,2,2,5,1,NA,1,1,1,9,1,1,1,3,0.41055085946354375
103956,2023-08-03T09:29:31Z,2023-08-03T09:53:14Z,1,1,2,2,3,4,2,2,1,1,1,1,2,1,3,2,3,1,2,1,2,1,1,6,3,3,2,7,NA,1,4,2,NA,4,1,2,1,2,4,3,NA,NA,NA,2,1,3,2,2,1,2,2,5,3,3,3,2,5,1,1,1,4,1,99,2,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,1,2,2,3,2,2,2,3,3,1,4,1,2,3,1,2,2,4,1,3,NA,NA,NA,NA,3,2,3,1,1,2,3,1,4,2,1,5,2,NA,1,1,1,1,1,5,11,NA,4,5,2,NA,2,4,1,2,4,2,2,2,0.4603703468360875
104210,2023-08-02T15:09:51Z,2023-08-02T15:25:23Z,2,1,2,1,6,3,2,2,1,1,1,1,2,2,3,2,3,1,1,1,1,1,2,6,3,6,6,7,NA,1,NA,NA,NA,5,2,1,1,1,2,1,NA,NA,NA,2,1,3,1,1,1,2,1,1,3,1,3,1,2,2,3,2,3,4,1,1,1,1,1,2,2,1,2,2,2,2,NA,NA,NA,2,2,2,2,1,3,1,2,3,3,2,3,1,5,1,3,1,3,1,2,2,NA,NA,NA,NA,3,2,2,3,1,1,2,1,2,2,3,2,2,NA,1,1,1,1,1,2,12,NA,3,6,4,2,2,4,1,2,5,2,2,1,1.2297452756175657
104368,2023-08-02T09:05:05Z,2023-08-02T13:36:19Z,1,1,1,2,5,5,1,99,99,99,99,2,1,3,1,3,1,1,1,3,3,3,1,3,3,3,3,7,1,1,1,2,NA,1,2,3,3,2,3,3,1,1,NA,NA,1,3,2,2,1,1,1,4,4,4,4,4,5,2,1,1,4,4,2,2,2,2,2,2,2,2,1,1,2,1,2,NA,2,2,2,2,2,2,2,1,1,2,1,3,1,1,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,NA,NA,NA,NA,1,3,7,2,4,1,3,2,2,NA,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,3,2,1,1,0.8331468874452379
104491,2023-08-02T13:38:37Z,2023-08-02T14:03:53Z,1,1,2,1,6,2,99,99,99,99,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,3,7,NA,NA,NA,3,NA,5,2,3,2,3,3,1,NA,NA,NA,3,2,NA,NA,2,2,2,2,4,4,4,4,4,4,2,3,1,5,5,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,1,2,1,1,3,4,2,2,3,1,4,1,2,1,2,1,4,2,2,2,NA,NA,NA,NA,2,2,3,2,1,4,9,2,4,2,2,3,2,NA,4,1,1,1,4,5,9,NA,3,6,2,NA,2,4,1,2,4,3,2,2,0.5532069622882921
104689,2023-08-01T17:20:31Z,2023-08-01T17:33:03Z,2,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,6,4,5,4,5,NA,2,2,2,2,2,2,3,1,1,1,1,NA,NA,NA,1,3,NA,NA,2,1,1,1,4,4,4,4,5,2,2,3,3,4,3,2,2,2,2,2,2,2,2,2,1,2,2,1,NA,NA,2,1,2,2,3,3,1,1,1,2,4,2,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,3,3,3,2,2,3,3,4,2,3,2,2,NA,1,1,1,1,1,5,1,1,1,2,2,NA,2,3,1,2,3,2,1,1,0.36282985987679034
104727,2023-08-02T18:42:41Z,2023-08-02T18:52:38Z,2,1,2,1,6,5,2,2,2,1,2,2,3,2,3,3,2,1,1,1,3,2,2,7,2,6,5,7,NA,6,NA,2,NA,3,2,2,2,2,2,2,NA,NA,NA,2,1,1,2,2,1,1,1,5,2,2,5,2,2,2,3,3,5,5,1,1,1,1,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,3,3,1,3,1,99,99,2,1,3,2,2,3,4,4,2,3,NA,NA,NA,NA,2,2,1,2,2,2,3,3,3,1,3,2,2,NA,1,1,1,1,1,1,12,NA,3,6,1,NA,1,1,1,99,2,2,2,99,1.51702518535425
105124,2023-08-02T09:32:22Z,2023-08-02T09:51:06Z,1,1,1,2,6,2,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,2,7,NA,1,1,2,NA,1,2,4,2,4,2,4,1,1,NA,NA,1,3,1,1,1,1,1,1,1,1,4,4,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,4,1,4,1,4,NA,NA,NA,NA,NA,NA,1,2,2,1,3,1,NA,NA,NA,NA,1,3,5,2,4,1,1,6,2,NA,1,1,1,1,1,1,2,1,2,2,1,NA,1,1,1,9,2,2,1,3,0.17577751814906814
105205,2023-08-03T11:06:50Z,2023-08-03T11:22:24Z,1,1,2,2,5,4,1,2,2,1,2,2,1,1,1,3,1,2,1,2,1,1,1,6,4,6,2,7,NA,5,NA,2,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,4,4,2,1,1,5,1,4,2,2,1,1,2,2,2,2,1,1,1,2,2,2,NA,2,2,1,2,3,3,2,4,4,1,4,1,4,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,3,1,1,1,2,3,2,3,2,2,4,2,NA,1,1,1,1,1,1,2,2,2,1,1,NA,1,1,1,9,1,2,1,3,0.33738748389348733
105269,2023-08-02T13:13:53Z,2023-08-02T13:33:55Z,2,1,1,2,5,3,2,2,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,2,6,NA,5,4,2,NA,4,2,3,3,2,3,3,1,1,NA,NA,1,3,1,1,1,1,1,2,2,5,3,2,1,1,4,4,4,4,2,1,1,1,2,2,2,2,1,1,2,1,3,NA,2,2,1,2,2,3,2,2,2,3,2,1,3,2,5,4,2,3,3,3,2,3,1,2,3,2,NA,NA,NA,NA,1,2,4,2,4,1,1,6,2,NA,1,1,1,1,1,1,2,2,2,3,3,2,2,3,1,7,3,2,2,2,0.31755979883803787
106180,2023-08-01T18:21:32Z,2023-08-01T18:31:42Z,1,1,2,2,5,3,1,2,2,1,2,2,1,3,1,3,1,3,1,3,3,2,1,7,5,7,6,7,NA,6,NA,NA,NA,1,2,3,4,2,2,1,NA,NA,NA,1,1,3,2,2,1,1,1,2,2,4,3,4,1,2,1,1,5,4,2,2,2,2,2,2,2,2,2,1,2,1,1,NA,3,2,2,2,2,2,3,1,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,2,3,2,1,3,7,3,3,1,2,4,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,1,9,1,2,1,2,0.3925066609791721
106444,2023-08-01T17:01:06Z,2023-08-01T17:09:39Z,2,1,2,2,6,3,2,2,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,6,NA,5,NA,2,NA,5,2,5,1,2,5,1,NA,NA,NA,2,2,NA,NA,2,2,2,2,4,4,4,4,4,4,2,4,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,2,1,1,2,1,2,2,3,1,3,1,3,1,1,3,1,5,1,2,NA,NA,NA,NA,3,2,3,3,1,1,1,2,4,2,1,5,2,NA,1,1,1,1,1,1,2,2,2,6,2,NA,2,4,1,9,4,2,2,3,0.5772282060739803
106590,2023-08-01T21:29:32Z,2023-08-01T21:40:33Z,2,1,2,1,4,2,1,2,2,1,2,2,1,1,1,1,1,1,2,99,1,1,1,5,3,2,3,7,2,2,3,2,NA,2,3,1,1,3,3,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,2,1,1,2,99,2,2,1,99,2,2,NA,NA,NA,2,2,1,2,3,3,1,1,1,2,4,1,2,1,1,99,1,1,99,2,2,NA,NA,NA,NA,2,2,2,1,1,4,9,2,3,2,1,6,2,NA,1,1,1,1,1,1,12,NA,3,5,3,1,1,2,1,9,3,2,1,2,0.35198403004299006
106885,2023-08-01T17:26:38Z,2023-08-01T17:41:25Z,1,1,2,2,4,3,1,2,2,1,2,2,1,1,1,1,1,1,2,1,3,2,1,1,4,1,1,7,1,3,1,2,NA,1,1,3,1,1,1,1,NA,NA,NA,1,3,NA,NA,2,1,1,1,4,4,2,4,4,1,2,1,4,5,4,1,1,1,1,1,2,2,1,1,1,2,2,1,NA,NA,2,2,2,2,2,3,2,1,1,1,3,1,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,2,3,1,1,4,9,2,4,2,1,5,1,1,1,4,3,1,1,1,2,2,2,1,1,NA,1,1,1,9,2,1,1,3,0.32766619702138855
106960,2023-08-03T17:48:36Z,2023-08-03T18:18:30Z,1,1,1,2,3,2,2,2,2,1,2,2,1,1,1,3,1,2,1,2,3,1,2,5,3,2,3,7,1,2,99,4,NA,2,99,2,2,3,2,2,1,2,NA,NA,3,NA,NA,1,1,1,1,2,3,2,4,3,2,2,4,3,4,3,1,2,2,1,2,2,2,1,1,1,2,2,2,NA,NA,2,2,2,2,2,2,2,1,1,1,4,1,3,NA,NA,NA,NA,NA,NA,2,1,1,3,3,1,NA,NA,NA,NA,1,2,3,2,4,2,2,3,2,NA,1,1,1,1,1,1,2,2,2,2,2,NA,2,4,1,3,4,NA,2,2,1.1103976458776412
107023,2023-08-01T17:00:02Z,2023-08-03T18:56:52Z,1,1,2,2,3,4,1,2,2,1,2,2,1,2,2,1,1,1,2,3,3,2,2,6,6,5,6,7,NA,NA,1,NA,NA,1,2,2,2,1,1,1,NA,NA,NA,1,1,3,2,2,1,1,1,5,2,2,3,5,2,1,3,3,4,3,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,4,1,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,3,3,3,3,1,3,5,2,3,2,1,5,2,NA,1,2,2,1,1,6,1,1,1,1,2,NA,2,3,1,3,2,2,1,2,0.13882410069811849
107612,2023-08-02T22:16:40Z,2023-08-02T22:34:47Z,2,1,2,2,1,3,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,3,1,3,7,1,1,1,4,NA,1,1,3,1,1,1,1,NA,NA,NA,1,2,NA,NA,2,1,99,1,1,1,1,4,1,5,1,1,1,5,1,1,1,99,2,2,2,1,2,1,1,2,2,3,NA,NA,2,2,1,2,2,3,1,4,4,1,4,1,4,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,1,1,1,1,3,7,2,4,2,2,3,2,NA,1,2,2,1,1,2,1,99,1,2,2,NA,2,9,1,8,99,4,2,2,0.8397633792319854
107668,2023-07-31T19:42:59Z,2023-07-31T19:53:16Z,2,1,1,2,6,3,2,2,2,1,1,1,2,2,3,3,2,1,2,2,3,2,2,7,4,5,6,7,NA,1,4,NA,NA,3,1,2,1,1,1,3,1,1,NA,NA,3,NA,NA,2,1,1,1,2,2,2,5,5,2,2,2,3,4,3,2,2,1,2,2,2,2,2,1,2,2,1,NA,NA,3,2,2,2,2,2,3,1,4,3,1,3,2,2,5,3,4,4,4,4,2,2,3,3,3,3,NA,NA,NA,NA,2,3,7,3,3,2,1,5,2,NA,1,1,1,1,1,6,1,2,1,6,1,NA,1,2,1,8,3,1,2,3,0.557336231250801
