taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
PCOQ,6987,N,F,Bertha of Sulzbach,Y,254,2011-02-18,2,NA,CB,Duke Lemur Center,1,160,2010-09-11,9,6897,Rodelinda,PCOQ,2007-08-06,3.1,6827,Marcus Aurelius,PCOQ,2004-02-16,6.57,NA,NA,7.97,NA,7.97,NA,NA,4520,2013-11-12,11,998,142.57,32.81,32,2.73,-140,43,-3.26,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6741,N,M,CALIGULA,N,182,1998-12-19,12,NA,CB,Duke Lemur Center,1,160,1998-07-12,7,6273,LUCIA,PCOQ,1989-03-15,9.33,6333,CONSTANTINE,PCOQ,1989-12-28,8.54,NA,NA,20.15,NA,20.15,7,NA,3700,2001-09-24,9,1010,144.29,33.21,33,2.77,180,68,2.65,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6333,N,M,CONSTANTINE,N,143,1989-12-28,12,NA,CB,Duke Lemur Center,1,160,1989-07-21,7,5703,CORNELIA,PCOQ,1977-07-01,12.06,5944,TRAJAN,PCOQ,1980-07-01,9.06,NA,NA,29.13,NA,29.13,21,NA,3690,1992-08-25,8,971,138.71,31.92,31,2.66,363,161,2.25,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5703,N,F,CORNELIA,N,121,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1995-05-29,17.92,NA,NA,17.92,9,Y,4313,1982-05-07,5,1771,253,58.22,58,4.85,NA,NA,NA,4770,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6456,N,F,CRISPINA,N,151,1992-03-02,3,NA,CB,Duke Lemur Center,1,160,1991-09-24,9,6108,FLAVIA,PCOQ,1982-07-01,9.24,597,NIGEL,PCOQ,1972-02-10,19.63,1995-06-07,3.27,NA,NA,3.27,NA,NA,3790,1994-11-23,11,996,142.29,32.75,32,2.73,-50,56,-0.89,196,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7233,N,F,Calpurnia III,Y,302,2016-01-17,1,NA,CB,Duke Lemur Center,1,160,2015-08-10,8,6538,Drusilla,PCOQ,1993-04-06,22.36,6518,Julian,PCOQ,1993-03-04,22.45,NA,NA,3.06,NA,3.06,NA,NA,3280,2018-09-13,9,970,138.57,31.89,31,2.66,280,24,11.67,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6882,N,M,Charlemagne,Y,223,2007-01-02,1,NA,CB,Duke Lemur Center,1,160,2006-07-26,7,6743,Pia,PCOQ,1999-02-15,7.45,6583,Jovian,PCOQ,1994-04-10,12.3,NA,NA,12.1,NA,12.1,3,NA,3800,2009-09-18,9,990,141.43,32.55,32,2.71,340,172,1.98,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6770,N,F,Chris,N,190,2000-12-04,12,NA,CB,Los Angeles Zoo & Botanical Gardens,NA,160,2000-06-27,6,6517,PULCHRA,PCOQ,1993-02-28,7.33,6207,Tiberius,PCOQ,1988-01-20,12.44,NA,NA,18.19,NA,18.19,5,NA,4020,2003-09-04,9,1004,143.43,33.01,33,2.75,NA,NA,NA,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6920,N,M,Conrad,N,235,2008-12-31,12,NA,CB,Duke Lemur Center,1,160,2008-07-24,7,6743,Pia,PCOQ,1999-02-15,9.44,6583,Jovian,PCOQ,1994-04-10,14.3,2015-07-06,6.52,NA,NA,6.52,NA,NA,3500,2011-09-02,9,975,139.29,32.05,32,2.67,-20,39,-0.51,1403,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6538,N,F,Drusilla,Y,156,1993-04-06,4,NA,CB,Duke Lemur Center,1,160,1992-10-28,10,6109,OCTAVIA,PCOQ,1982-07-01,10.33,5945,HADRIAN,PCOQ,1982-07-01,10.33,NA,NA,25.85,NA,25.85,16,NA,4380,1996-01-02,1,1001,143,32.91,32,2.74,80,84,0.95,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6758,N,F,EUDOXIA,N,188,2000-02-11,2,NA,CB,Duke Lemur Center,1,160,1999-09-04,9,6538,Drusilla,PCOQ,1993-04-06,6.42,5944,TRAJAN,PCOQ,1980-07-01,19.19,2017-01-10,16.93,NA,NA,16.93,4,NA,3860,2002-10-16,10,978,139.71,32.15,32,2.68,150,40,3.75,5200,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7171,N,F,Eleanor of Portugal,N,279,2014-01-05,1,NA,CB,Duke Lemur Center,1,160,2013-07-29,7,6897,Rodelinda,PCOQ,2007-08-06,5.98,6827,Marcus Aurelius,PCOQ,2004-02-16,9.45,NA,NA,5.09,NA,5.09,NA,NA,3920,2016-10-02,10,1001,143,32.91,32,2.74,-240,87,-2.76,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7132,N,M,Elliot,Y,267,2013-01-06,1,NA,CB,Los Angeles Zoo & Botanical Gardens,NA,160,2012-07-30,7,6873,Eros,PCOQ,2006-02-14,6.46,6860,Bertarido,PCOQ,2005-04-13,7.3,NA,NA,6.09,NA,6.09,NA,NA,4640,2017-08-04,8,1671,238.71,54.94,54,4.58,NA,NA,NA,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6985,N,F,Euphemia,Y,252,2011-02-15,2,NA,CB,Maryland Zoo in Baltimore,NA,160,2010-09-08,9,6828,Anastasia,PCOQ,2004-02-18,6.56,6797,Gratian,PCOQ,2002-04-14,8.41,NA,NA,7.98,NA,7.98,2,NA,3790,2013-11-01,11,990,141.43,32.55,32,2.71,1290,694,1.86,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6690,N,F,FAUSTINA,N,171,1996-12-08,12,NA,CB,Duke Lemur Center,1,160,1996-07-01,7,6398,PAULINA,PCOQ,1991-01-24,5.44,6450,VALENTINIAN,PCOQ,1991-11-02,4.67,2009-07-20,12.62,NA,NA,12.62,11,NA,3580,1999-08-15,8,980,140,32.22,32,2.68,110,29,3.79,3627,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6108,N,F,FLAVIA,N,127,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-03-05,21.69,NA,NA,21.69,12,Y,3677,1986-06-13,6,1443,206.14,47.44,47,3.95,NA,NA,NA,6475,2.64,young_adult,P,160,1986-01-28,1986-07-07,24,0.15,1
PCOQ,7137,N,M,Ferdinand,Y,272,2013-02-17,2,NA,CB,Duke Lemur Center,1,160,2012-09-10,9,6743,Pia,PCOQ,1999-02-15,13.58,6583,Jovian,PCOQ,1994-04-10,18.43,NA,NA,5.97,NA,5.97,NA,NA,3460,2015-12-20,12,1036,148,34.06,34,2.84,280,76,3.68,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7235,N,F,Francesca,Y,304,2016-02-14,2,NA,CB,Duke Lemur Center,1,160,2015-09-07,9,6922,Pompeia Plotina,PCOQ,2009-02-04,6.59,6882,Charlemagne,PCOQ,2007-01-02,8.68,NA,NA,2.98,NA,2.98,NA,NA,3320,2018-10-20,10,979,139.86,32.19,32,2.68,-60,37,-1.62,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6901,N,M,Gaius Galerus,N,230,2008-01-03,1,NA,CB,Duke Lemur Center,1,160,2007-07-27,7,6744,Rupillia,PCOQ,1999-02-16,8.45,6610,NERO,PCOQ,1994-12-04,12.65,NA,NA,11.1,NA,11.1,5,NA,3420,2010-08-28,8,968,138.29,31.82,31,2.65,120,31,3.87,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7170,N,F,Gertrude,Y,278,2014-01-05,1,NA,CB,Duke Lemur Center,1,160,2013-07-29,7,6743,Pia,PCOQ,1999-02-15,14.46,6583,Jovian,PCOQ,1994-04-10,19.32,NA,NA,5.09,NA,5.09,NA,NA,3980,2016-10-02,10,1001,143,32.91,32,2.74,460,39,11.79,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6825,N,F,Geta,N,207,2004-02-08,2,NA,CB,Duke Lemur Center,1,160,2003-09-01,9,6692,ALEXIANUS,PCOQ,1996-12-17,6.71,6583,Jovian,PCOQ,1994-04-10,9.4,2007-05-25,3.29,NA,NA,3.29,NA,NA,3440,2006-10-04,10,969,138.43,31.86,31,2.65,140,127,1.1,233,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7073,N,F,Gisela,Y,256,2012-01-07,1,NA,CB,Duke Lemur Center,1,160,2011-07-31,7,6743,Pia,PCOQ,1999-02-15,12.46,6583,Jovian,PCOQ,1994-04-10,17.32,NA,NA,7.09,NA,7.09,2,NA,3560,2014-08-28,8,964,137.71,31.69,31,2.64,60,75,0.8,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6797,N,M,Gratian,N,198,2002-04-14,4,NA,CB,Duke Lemur Center,1,160,2001-11-05,11,6538,Drusilla,PCOQ,1993-04-06,8.59,597,NIGEL,PCOQ,1972-02-10,29.76,NA,NA,16.83,NA,16.83,7,NA,3120,2004-12-30,12,991,141.57,32.58,32,2.72,-20,72,-0.28,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3605,1985-03-11,3,984,140.57,32.35,32,2.7,55,56,0.98,3316,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6850,N,F,Honoria,N,215,2005-02-21,2,NA,CB,Duke Lemur Center,1,160,2004-09-14,9,6538,Drusilla,PCOQ,1993-04-06,11.45,6518,Julian,PCOQ,1993-03-04,11.54,2007-11-01,2.69,NA,NA,2.69,NA,NA,2760,2007-10-22,10,973,139,31.99,31,2.67,-220,11,-20,10,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7234,N,M,Hostilian,Y,303,2016-01-23,1,NA,CB,Duke Lemur Center,1,160,2015-08-16,8,7073,Gisela,PCOQ,2012-01-07,3.61,6959,Rupert,PCOQ,2009-12-15,5.67,NA,NA,3.04,NA,3.04,NA,NA,3320,2018-09-29,9,980,140,32.22,32,2.68,0,30,0,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6884,N,F,Irene,N,225,2007-01-27,1,NA,CB,Duke Lemur Center,1,160,2006-08-20,8,6744,Rupillia,PCOQ,1999-02-16,7.51,6610,NERO,PCOQ,1994-12-04,11.72,NA,NA,12.04,NA,12.04,3,NA,3320,2009-09-24,9,971,138.71,31.92,31,2.66,-80,27,-2.96,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7201,N,F,Isabella,Y,291,2015-01-25,1,NA,CB,Duke Lemur Center,1,160,2014-08-18,8,6922,Pompeia Plotina,PCOQ,2009-02-04,5.54,6882,Charlemagne,PCOQ,2007-01-02,7.63,NA,NA,4.04,NA,4.04,NA,NA,3400,2017-10-03,10,982,140.29,32.28,32,2.69,280,77,3.64,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5701,N,F,JULIA,N,120,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1985-12-30,8.5,NA,NA,8.5,2,Y,4319,1982-05-07,5,1771,253,58.22,58,4.85,NA,NA,NA,1333,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6583,N,M,Jovian,N,160,1994-04-10,4,NA,CB,Duke Lemur Center,1,160,1993-11-01,11,6108,FLAVIA,PCOQ,1982-07-01,11.35,597,NIGEL,PCOQ,1972-02-10,21.74,2014-11-10,20.6,NA,NA,20.6,12,NA,3600,1997-03-04,3,1059,151.29,34.82,34,2.9,60,126,0.48,6460,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6518,N,M,Julian,Y,154,1993-03-04,3,NA,CB,Duke Lemur Center,1,160,1992-09-25,9,6108,FLAVIA,PCOQ,1982-07-01,10.24,597,NIGEL,PCOQ,1972-02-10,20.64,NA,NA,25.95,NA,25.95,14,NA,4040,1995-12-19,12,1020,145.71,33.53,33,2.79,50,62,0.81,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3915,1982-05-07,5,1041,148.71,34.22,34,2.85,NA,NA,NA,1377,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6723,N,F,LIVIA II,N,176,1998-01-31,1,NA,CB,Duke Lemur Center,1,160,1997-08-24,8,6110,MARCELLA,PCOQ,1984-07-01,13.16,5944,TRAJAN,PCOQ,1980-07-01,17.16,2004-06-24,6.4,NA,NA,6.4,1,NA,4000,2000-09-28,9,971,138.71,31.92,31,2.66,50,14,3.57,1365,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6273,N,F,LUCIA,N,142,1989-03-15,3,NA,CB,Duke Lemur Center,1,160,1988-10-06,10,6109,OCTAVIA,PCOQ,1982-07-01,6.27,5945,HADRIAN,PCOQ,1982-07-01,6.27,1999-10-03,10.56,NA,NA,10.56,8,NA,4849,1991-12-18,12,1008,144,33.14,33,2.76,863,118,7.31,2846,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6843,N,M,Lucius Verus,N,212,2005-01-07,1,NA,CB,Duke Lemur Center,1,160,2004-07-31,7,6744,Rupillia,PCOQ,1999-02-16,5.46,6610,NERO,PCOQ,1994-12-04,9.66,2016-05-26,11.39,NA,NA,11.39,2,NA,3600,2007-09-24,9,990,141.43,32.55,32,2.71,140,89,1.57,3167,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7199,N,F,Lupicina,Y,289,2015-01-08,1,NA,CB,Duke Lemur Center,1,160,2014-08-01,8,6985,Euphemia,PCOQ,2011-02-15,3.46,6843,Lucius Verus,PCOQ,2005-01-07,9.57,NA,NA,4.08,NA,4.08,1,NA,3640,2017-10-02,10,998,142.57,32.81,32,2.73,305,44,6.93,NA,2.64,young_adult,P,160,2017-05-09,2017-10-16,14,0.0875,1
PCOQ,6110,N,F,MARCELLA,N,131,1984-07-01,7,Y,WB,Madagascar /,NA,160,1984-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2000-04-17,15.81,NA,NA,15.81,8,Y,4376,1987-03-30,3,1002,143.14,32.94,32,2.75,5,83,0.06,4767,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6759,N,M,MARIUS,N,189,2000-02-18,2,NA,CB,Duke Lemur Center,1,160,1999-09-11,9,6110,MARCELLA,PCOQ,1984-07-01,15.21,6518,Julian,PCOQ,1993-03-04,6.53,2004-07-15,4.41,NA,NA,4.41,NA,NA,3750,2002-10-31,10,986,140.86,32.42,32,2.7,310,50,6.2,623,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6827,N,M,Marcus Aurelius,Y,208,2004-02-16,2,NA,CB,Duke Lemur Center,1,160,2003-09-09,9,6538,Drusilla,PCOQ,1993-04-06,10.43,6518,Julian,PCOQ,1993-03-04,10.52,NA,NA,14.98,NA,14.98,6,NA,3870,2006-10-06,10,963,137.57,31.66,31,2.64,-70,7,-10,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6903,N,M,Martinianus,N,231,2008-01-25,1,NA,CB,Duke Lemur Center,1,160,2007-08-18,8,6538,Drusilla,PCOQ,1993-04-06,14.38,6518,Julian,PCOQ,1993-03-04,14.47,NA,NA,11.04,NA,11.04,2,NA,3620,2010-09-20,9,969,138.43,31.86,31,2.65,-20,22,-0.91,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6900,N,F,Matilda,N,229,2007-12-21,12,NA,CB,Duke Lemur Center,1,160,2007-07-14,7,6743,Pia,PCOQ,1999-02-15,8.41,6583,Jovian,PCOQ,1994-04-10,13.27,NA,NA,11.14,NA,11.14,2,NA,3360,2010-08-19,8,972,138.86,31.96,31,2.66,0,28,0,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6823,N,M,Maximus,N,206,2004-01-15,1,NA,CB,Duke Lemur Center,1,160,2003-08-08,8,6398,PAULINA,PCOQ,1991-01-24,12.55,5944,TRAJAN,PCOQ,1980-07-01,23.12,2009-07-18,5.51,NA,NA,5.51,NA,NA,3900,2006-10-06,10,995,142.14,32.71,32,2.73,100,52,1.92,1016,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6610,N,M,NERO,N,162,1994-12-04,12,NA,CB,Duke Lemur Center,1,160,1994-06-27,6,6110,MARCELLA,PCOQ,1984-07-01,9.99,6207,Tiberius,PCOQ,1988-01-20,6.44,2008-04-02,13.34,NA,NA,13.34,6,NA,2830,1997-08-18,8,988,141.14,32.48,32,2.71,180,54,3.33,3880,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6109,N,F,OCTAVIA,N,128,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-01-11,11.54,NA,NA,11.54,7,Y,3610,1986-06-13,6,1443,206.14,47.44,47,3.95,NA,NA,NA,2769,2.64,young_adult,P,160,1986-01-21,1986-06-30,17,0.10625,1
PCOQ,6608,N,M,OTHO,N,161,1994-09-12,9,NA,CB,Duke Lemur Center,1,160,1994-04-05,4,6273,LUCIA,PCOQ,1989-03-15,5.06,6333,CONSTANTINE,PCOQ,1989-12-28,4.27,2010-06-22,15.79,NA,NA,15.79,2,NA,3520,1997-05-30,5,991,141.57,32.58,32,2.72,80,71,1.13,4771,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6398,N,F,PAULINA,N,147,1991-01-24,1,NA,CB,Duke Lemur Center,1,160,1990-08-17,8,6108,FLAVIA,PCOQ,1982-07-01,8.13,597,NIGEL,PCOQ,1972-02-10,18.53,2006-08-29,15.61,NA,NA,15.61,11,NA,4180,1993-10-08,10,988,141.14,32.48,32,2.71,0,30,0,4708,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6517,N,F,PULCHRA,N,153,1993-02-28,2,NA,CB,Duke Lemur Center,1,160,1992-09-21,9,5703,CORNELIA,PCOQ,1977-07-01,15.24,5944,TRAJAN,PCOQ,1980-07-01,12.23,2007-12-15,14.8,NA,NA,14.8,13,NA,4530,1995-12-05,12,1010,144.29,33.21,33,2.77,150,55,2.73,4393,2.64,young_adult,P,160,1995-10-18,1996-03-26,112,0.7,1
PCOQ,6747,N,M,Phillip the Arab,N,185,1999-02-24,2,NA,CB,Duke Lemur Center,1,160,1998-09-17,9,6398,PAULINA,PCOQ,1991-01-24,7.65,6450,VALENTINIAN,PCOQ,1991-11-02,6.88,2014-10-09,15.63,NA,NA,15.63,5,NA,3740,2001-10-15,10,964,137.71,31.69,31,2.64,370,20,18.5,4742,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6743,N,F,Pia,N,183,1999-02-15,2,NA,CB,Duke Lemur Center,1,160,1998-09-08,9,6110,MARCELLA,PCOQ,1984-07-01,14.2,5944,TRAJAN,PCOQ,1980-07-01,18.2,2018-10-17,19.68,NA,NA,19.68,10,NA,3850,2001-10-15,10,973,139,31.99,31,2.67,150,31,4.84,6211,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6922,N,F,Pompeia Plotina,Y,237,2009-02-04,2,NA,CB,Duke Lemur Center,1,160,2008-08-28,8,6538,Drusilla,PCOQ,1993-04-06,15.41,6518,Julian,PCOQ,1993-03-04,15.5,NA,NA,10.01,NA,10.01,3,NA,4265,2011-10-04,10,972,138.86,31.96,31,2.66,65,28,2.32,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7136,N,M,Pontius Pilate,N,271,2013-02-04,2,NA,CB,Duke Lemur Center,1,160,2012-08-28,8,6538,Drusilla,PCOQ,1993-04-06,19.41,6518,Julian,PCOQ,1993-03-04,19.5,2019-01-15,5.95,NA,NA,5.95,1,NA,3240,2015-10-28,10,996,142.29,32.75,32,2.73,80,39,2.05,1175,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7075,N,M,Remus,Y,258,2012-01-12,1,NA,CB,Duke Lemur Center,1,160,2011-08-05,8,6744,Rupillia,PCOQ,1999-02-16,12.47,6207,Tiberius,PCOQ,1988-01-20,23.56,NA,NA,7.07,NA,7.07,1,NA,3360,2014-09-17,9,979,139.86,32.19,32,2.68,-40,34,-1.18,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6897,N,F,Rodelinda,Y,228,2007-08-06,8,NA,CB,Los Angeles Zoo & Botanical Gardens,NA,160,2007-02-27,2,6517,PULCHRA,PCOQ,1993-02-28,14.01,6207,Tiberius,PCOQ,1988-01-20,19.12,NA,NA,11.51,NA,11.51,6,NA,4300,2010-04-01,4,969,138.43,31.86,31,2.65,300,118,2.54,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
